energy_kev,no_cut_counts_per_1kev,score_ge_threshold_counts_per_1kev
1341.5,264,148
1342.5,236,139
1343.5,287,156
1344.5,265,146
1345.5,266,155
1346.5,283,175
1347.5,280,161
1348.5,270,144
1349.5,292,171
1350.5,282,152
1351.5,239,148
1352.5,282,169
1353.5,246,143
1354.5,269,159
1355.5,280,166
1356.5,276,154
1357.5,293,160
1358.5,266,155
1359.5,265,162
1360.5,260,157
1361.5,289,162
1362.5,251,140
1363.5,284,159
1364.5,267,158
1365.5,263,145
1366.5,256,139
1367.5,270,161
1368.5,248,134
1369.5,270,145
1370.5,265,148
1371.5,250,143
1372.5,272,158
1373.5,277,156
1374.5,255,155
1375.5,253,161
1376.5,249,158
1377.5,248,147
1378.5,262,145
1379.5,268,162
1380.5,250,136
1381.5,257,151
1382.5,234,139
1383.5,254,138
1384.5,216,120
1385.5,245,140
1386.5,233,133
1387.5,227,136
1388.5,234,142
1389.5,236,151
1390.5,235,138
1391.5,266,158
1392.5,219,129
1393.5,253,151
1394.5,241,139
1395.5,254,128
1396.5,221,132
1397.5,252,146
1398.5,248,129
1399.5,249,160
1400.5,230,138
1401.5,226,138
1402.5,242,153
1403.5,233,152
1404.5,231,121
1405.5,250,152
1406.5,238,136
1407.5,264,160
1408.5,235,160
1409.5,236,135
1410.5,223,141
1411.5,225,129
1412.5,228,145
1413.5,239,143
1414.5,209,115
1415.5,230,140
1416.5,227,130
1417.5,223,123
1418.5,220,139
1419.5,195,100
1420.5,212,125
1421.5,190,115
1422.5,199,116
1423.5,204,128
1424.5,203,123
1425.5,210,125
1426.5,202,120
1427.5,221,130
1428.5,207,133
1429.5,228,132
1430.5,232,145
1431.5,223,144
1432.5,227,145
1433.5,237,137
1434.5,244,138
1435.5,215,122
1436.5,243,148
1437.5,198,113
1438.5,207,124
1439.5,206,128
1440.5,218,139
1441.5,187,111
1442.5,167,111
1443.5,203,121
1444.5,197,107
1445.5,213,132
1446.5,195,118
1447.5,194,107
1448.5,190,114
1449.5,200,122
1450.5,205,135
1451.5,209,136
1452.5,204,130
1453.5,216,127
1454.5,208,128
1455.5,207,122
1456.5,211,136
1457.5,322,217
1458.5,448,312
1459.5,539,396
1460.5,607,446
1461.5,553,390
1462.5,434,299
1463.5,270,189
1464.5,198,127
1465.5,169,102
1466.5,203,120
1467.5,180,109
1468.5,171,104
1469.5,182,107
1470.5,220,130
1471.5,175,103
1472.5,170,98
1473.5,183,116
1474.5,146,78
1475.5,190,108
1476.5,160,98
1477.5,179,108
1478.5,184,114
1479.5,207,135
1480.5,159,91
1481.5,208,123
1482.5,188,112
1483.5,178,108
1484.5,164,99
1485.5,168,104
1486.5,197,115
1487.5,164,92
1488.5,174,109
1489.5,169,109
1490.5,167,105
1491.5,183,98
1492.5,194,112
1493.5,231,143
1494.5,329,231
1495.5,499,359
1496.5,555,412
1497.5,541,421
1498.5,483,350
1499.5,326,220
1500.5,317,221
1501.5,336,240
1502.5,383,293
1503.5,331,238
1504.5,294,203
1505.5,197,121
1506.5,182,109
1507.5,147,74
1508.5,183,112
1509.5,176,112
1510.5,190,113
1511.5,196,124
1512.5,284,210
1513.5,308,229
1514.5,287,193
